gene_symbol	original_cell_type	method	cell_type
METTL5	CD4+ memory T-cells	xcell	T cell CD4+ memory
ICOS	CD4+ memory T-cells	xcell	T cell CD4+ memory
TRA2A	CD4+ memory T-cells	xcell	T cell CD4+ memory
UBIAD1	CD4+ memory T-cells	xcell	T cell CD4+ memory
GPR132	CD4+ memory T-cells	xcell	T cell CD4+ memory
UBQLN2	CD4+ memory T-cells	xcell	T cell CD4+ memory
GLOD4	CD4+ memory T-cells	xcell	T cell CD4+ memory
FCF1	CD4+ memory T-cells	xcell	T cell CD4+ memory
COPS4	CD4+ memory T-cells	xcell	T cell CD4+ memory
RSL24D1	CD4+ memory T-cells	xcell	T cell CD4+ memory
CDC40	CD4+ memory T-cells	xcell	T cell CD4+ memory
EIF3L	CD4+ memory T-cells	xcell	T cell CD4+ memory
RWDD1	CD4+ memory T-cells	xcell	T cell CD4+ memory
TRMT112	CD4+ memory T-cells	xcell	T cell CD4+ memory
CMPK1	CD4+ memory T-cells	xcell	T cell CD4+ memory
ETAA1	CD4+ memory T-cells	xcell	T cell CD4+ memory
GATAD2A	CD4+ memory T-cells	xcell	T cell CD4+ memory
MRPL20	CD4+ memory T-cells	xcell	T cell CD4+ memory
SMU1	CD4+ memory T-cells	xcell	T cell CD4+ memory
IMP3	CD4+ memory T-cells	xcell	T cell CD4+ memory
LIN7C	CD4+ memory T-cells	xcell	T cell CD4+ memory
CDV3	CD4+ memory T-cells	xcell	T cell CD4+ memory
CDKN2AIP	CD4+ memory T-cells	xcell	T cell CD4+ memory
AMBRA1	CD4+ memory T-cells	xcell	T cell CD4+ memory
OSGEP	CD4+ memory T-cells	xcell	T cell CD4+ memory
INTS8	CD4+ memory T-cells	xcell	T cell CD4+ memory
KBTBD4	CD4+ memory T-cells	xcell	T cell CD4+ memory
EXOC2	CD4+ memory T-cells	xcell	T cell CD4+ memory
PCID2	CD4+ memory T-cells	xcell	T cell CD4+ memory
ZC3H15	CD4+ memory T-cells	xcell	T cell CD4+ memory
UNC45A	CD4+ memory T-cells	xcell	T cell CD4+ memory
NKRF	CD4+ memory T-cells	xcell	T cell CD4+ memory
PCNP	CD4+ memory T-cells	xcell	T cell CD4+ memory
THAP11	CD4+ memory T-cells	xcell	T cell CD4+ memory
ZDHHC6	CD4+ memory T-cells	xcell	T cell CD4+ memory
MRPL11	CD4+ memory T-cells	xcell	T cell CD4+ memory
ACD	CD4+ memory T-cells	xcell	T cell CD4+ memory
MRPL44	CD4+ memory T-cells	xcell	T cell CD4+ memory
MRPS34	CD4+ memory T-cells	xcell	T cell CD4+ memory
DDX50	CD4+ memory T-cells	xcell	T cell CD4+ memory
SPAG16	CD4+ memory T-cells	xcell	T cell CD4+ memory
CBLL1	CD4+ memory T-cells	xcell	T cell CD4+ memory
RPF1	CD4+ memory T-cells	xcell	T cell CD4+ memory
THOC7	CD4+ memory T-cells	xcell	T cell CD4+ memory
GRPEL1	CD4+ memory T-cells	xcell	T cell CD4+ memory
ISCA1	CD4+ memory T-cells	xcell	T cell CD4+ memory
DOHH	CD4+ memory T-cells	xcell	T cell CD4+ memory
C12orf29	CD4+ memory T-cells	xcell	T cell CD4+ memory
ATPIF1	CD4+ memory T-cells	xcell	T cell CD4+ memory
SLC25A6	CD4+ memory T-cells	xcell	T cell CD4+ memory
EEF2	CD4+ memory T-cells	xcell	T cell CD4+ memory
KARS	CD4+ memory T-cells	xcell	T cell CD4+ memory
RNF6	CD4+ memory T-cells	xcell	T cell CD4+ memory
THRAP3	CD4+ memory T-cells	xcell	T cell CD4+ memory
FARS2	CD4+ memory T-cells	xcell	T cell CD4+ memory
RBM34	CD4+ memory T-cells	xcell	T cell CD4+ memory
TINF2	CD4+ memory T-cells	xcell	T cell CD4+ memory
SLC25A38	CD4+ memory T-cells	xcell	T cell CD4+ memory
CD3G	CD4+ memory T-cells	xcell	T cell CD4+ memory
CD40LG	CD4+ memory T-cells	xcell	T cell CD4+ memory
GPR15	CD4+ memory T-cells	xcell	T cell CD4+ memory
LIMS1	CD4+ memory T-cells	xcell	T cell CD4+ memory
RBL2	CD4+ memory T-cells	xcell	T cell CD4+ memory
DLEC1	CD4+ memory T-cells	xcell	T cell CD4+ memory
CXCR6	CD4+ memory T-cells	xcell	T cell CD4+ memory
TRAT1	CD4+ memory T-cells	xcell	T cell CD4+ memory
ARHGAP15	CD4+ memory T-cells	xcell	T cell CD4+ memory
GZMA	CD4+ memory T-cells	xcell	T cell CD4+ memory
GZMK	CD4+ memory T-cells	xcell	T cell CD4+ memory
HMGB2	CD4+ memory T-cells	xcell	T cell CD4+ memory
PDCD1	CD4+ memory T-cells	xcell	T cell CD4+ memory
CD226	CD4+ memory T-cells	xcell	T cell CD4+ memory
GPR171	CD4+ memory T-cells	xcell	T cell CD4+ memory
UBASH3A	CD4+ memory T-cells	xcell	T cell CD4+ memory
MEN1	CD4+ memory T-cells	xcell	T cell CD4+ memory
PTPN4	CD4+ memory T-cells	xcell	T cell CD4+ memory
ZNF236	CD4+ memory T-cells	xcell	T cell CD4+ memory
CD96	CD4+ memory T-cells	xcell	T cell CD4+ memory
SEC23IP	CD4+ memory T-cells	xcell	T cell CD4+ memory
AURKAIP1	CD4+ memory T-cells	xcell	T cell CD4+ memory
RNF34	CD4+ memory T-cells	xcell	T cell CD4+ memory
CD3E	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD6	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD7	CD4+ naive T-cells	xcell	T cell CD4+ naive
CCR7	CD4+ naive T-cells	xcell	T cell CD4+ naive
DSC1	CD4+ naive T-cells	xcell	T cell CD4+ naive
JAK3	CD4+ naive T-cells	xcell	T cell CD4+ naive
PLCL1	CD4+ naive T-cells	xcell	T cell CD4+ naive
PLCG1	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZAP70	CD4+ naive T-cells	xcell	T cell CD4+ naive
CABIN1	CD4+ naive T-cells	xcell	T cell CD4+ naive
PLXDC1	CD4+ naive T-cells	xcell	T cell CD4+ naive
GPSM3	CD4+ naive T-cells	xcell	T cell CD4+ naive
ANKRD55	CD4+ naive T-cells	xcell	T cell CD4+ naive
LIMD2	CD4+ naive T-cells	xcell	T cell CD4+ naive
CHMP7	CD4+ naive T-cells	xcell	T cell CD4+ naive
APBB1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD27	CD4+ naive T-cells	xcell	T cell CD4+ naive
TNFSF8	CD4+ naive T-cells	xcell	T cell CD4+ naive
GRK6	CD4+ naive T-cells	xcell	T cell CD4+ naive
GZMM	CD4+ naive T-cells	xcell	T cell CD4+ naive
PRMT2	CD4+ naive T-cells	xcell	T cell CD4+ naive
IDUA	CD4+ naive T-cells	xcell	T cell CD4+ naive
INSL3	CD4+ naive T-cells	xcell	T cell CD4+ naive
ITK	CD4+ naive T-cells	xcell	T cell CD4+ naive
NUMA1	CD4+ naive T-cells	xcell	T cell CD4+ naive
PHF1	CD4+ naive T-cells	xcell	T cell CD4+ naive
RXRB	CD4+ naive T-cells	xcell	T cell CD4+ naive
SELPLG	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF76	CD4+ naive T-cells	xcell	T cell CD4+ naive
CUBN	CD4+ naive T-cells	xcell	T cell CD4+ naive
PIP4K2B	CD4+ naive T-cells	xcell	T cell CD4+ naive
NCK2	CD4+ naive T-cells	xcell	T cell CD4+ naive
CDK10	CD4+ naive T-cells	xcell	T cell CD4+ naive
TNK1	CD4+ naive T-cells	xcell	T cell CD4+ naive
ACAP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
TSPAN32	CD4+ naive T-cells	xcell	T cell CD4+ naive
ARFRP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
SEPT9	CD4+ naive T-cells	xcell	T cell CD4+ naive
MSL3	CD4+ naive T-cells	xcell	T cell CD4+ naive
WDR6	CD4+ naive T-cells	xcell	T cell CD4+ naive
MLXIP	CD4+ naive T-cells	xcell	T cell CD4+ naive
LEPROTL1	CD4+ naive T-cells	xcell	T cell CD4+ naive
SH2B1	CD4+ naive T-cells	xcell	T cell CD4+ naive
IPCEF1	CD4+ naive T-cells	xcell	T cell CD4+ naive
KLHL3	CD4+ naive T-cells	xcell	T cell CD4+ naive
SIT1	CD4+ naive T-cells	xcell	T cell CD4+ naive
TRAT1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CRLF3	CD4+ naive T-cells	xcell	T cell CD4+ naive
RAPGEF6	CD4+ naive T-cells	xcell	T cell CD4+ naive
FAM193B	CD4+ naive T-cells	xcell	T cell CD4+ naive
SIRPG	CD4+ naive T-cells	xcell	T cell CD4+ naive
PACS1	CD4+ naive T-cells	xcell	T cell CD4+ naive
RNPEPL1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CREBZF	CD4+ naive T-cells	xcell	T cell CD4+ naive
NDFIP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
OBSCN	CD4+ naive T-cells	xcell	T cell CD4+ naive
CLC	CD4+ naive T-cells	xcell	T cell CD4+ naive
CTSW	CD4+ naive T-cells	xcell	T cell CD4+ naive
DNAJB1	CD4+ naive T-cells	xcell	T cell CD4+ naive
RBL2	CD4+ naive T-cells	xcell	T cell CD4+ naive
HAUS3	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF394	CD4+ naive T-cells	xcell	T cell CD4+ naive
GLG1	CD4+ naive T-cells	xcell	T cell CD4+ naive
LY9	CD4+ naive T-cells	xcell	T cell CD4+ naive
MAK	CD4+ naive T-cells	xcell	T cell CD4+ naive
RBMS1	CD4+ naive T-cells	xcell	T cell CD4+ naive
ATXN7	CD4+ naive T-cells	xcell	T cell CD4+ naive
CUL1	CD4+ naive T-cells	xcell	T cell CD4+ naive
MTRF1	CD4+ naive T-cells	xcell	T cell CD4+ naive
BMS1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CEPT1	CD4+ naive T-cells	xcell	T cell CD4+ naive
AAK1	CD4+ naive T-cells	xcell	T cell CD4+ naive
SORCS3	CD4+ naive T-cells	xcell	T cell CD4+ naive
CLUAP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
ICOS	CD4+ naive T-cells	xcell	T cell CD4+ naive
COQ6	CD4+ naive T-cells	xcell	T cell CD4+ naive
PHF20L1	CD4+ naive T-cells	xcell	T cell CD4+ naive
POP5	CD4+ naive T-cells	xcell	T cell CD4+ naive
NUDT9	CD4+ naive T-cells	xcell	T cell CD4+ naive
UBASH3A	CD4+ naive T-cells	xcell	T cell CD4+ naive
GIN1	CD4+ naive T-cells	xcell	T cell CD4+ naive
SETD5	CD4+ naive T-cells	xcell	T cell CD4+ naive
KDM3A	CD4+ naive T-cells	xcell	T cell CD4+ naive
NAA16	CD4+ naive T-cells	xcell	T cell CD4+ naive
TRAF3IP3	CD4+ naive T-cells	xcell	T cell CD4+ naive
TMEM30B	CD4+ naive T-cells	xcell	T cell CD4+ naive
FKTN	CD4+ naive T-cells	xcell	T cell CD4+ naive
IL16	CD4+ naive T-cells	xcell	T cell CD4+ naive
KRT2	CD4+ naive T-cells	xcell	T cell CD4+ naive
NPAT	CD4+ naive T-cells	xcell	T cell CD4+ naive
VPS52	CD4+ naive T-cells	xcell	T cell CD4+ naive
UTP20	CD4+ naive T-cells	xcell	T cell CD4+ naive
RNF216	CD4+ naive T-cells	xcell	T cell CD4+ naive
TUG1	CD4+ naive T-cells	xcell	T cell CD4+ naive
NOL9	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD3G	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD4	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD5	CD4+ naive T-cells	xcell	T cell CD4+ naive
HMOX2	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPA3	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPLP2	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPL14	CD4+ naive T-cells	xcell	T cell CD4+ naive
SNPH	CD4+ naive T-cells	xcell	T cell CD4+ naive
TBC1D5	CD4+ naive T-cells	xcell	T cell CD4+ naive
RAB3GAP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
MLH3	CD4+ naive T-cells	xcell	T cell CD4+ naive
PARP11	CD4+ naive T-cells	xcell	T cell CD4+ naive
MKL1	CD4+ naive T-cells	xcell	T cell CD4+ naive
GIMAP6	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD40LG	CD4+ naive T-cells	xcell	T cell CD4+ naive
INPP4A	CD4+ naive T-cells	xcell	T cell CD4+ naive
TRAF1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD2	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD247	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPL38	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPS6	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF264	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZBTB40	CD4+ naive T-cells	xcell	T cell CD4+ naive
PRMT3	CD4+ naive T-cells	xcell	T cell CD4+ naive
USP16	CD4+ naive T-cells	xcell	T cell CD4+ naive
NUP50	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF609	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPRD2	CD4+ naive T-cells	xcell	T cell CD4+ naive
FCF1	CD4+ naive T-cells	xcell	T cell CD4+ naive
COPS7B	CD4+ naive T-cells	xcell	T cell CD4+ naive
DDX31	CD4+ naive T-cells	xcell	T cell CD4+ naive
KRI1	CD4+ naive T-cells	xcell	T cell CD4+ naive
DDX50	CD4+ naive T-cells	xcell	T cell CD4+ naive
ACBD4	CD4+ naive T-cells	xcell	T cell CD4+ naive
SLTM	CD4+ naive T-cells	xcell	T cell CD4+ naive
RPAP2	CD4+ naive T-cells	xcell	T cell CD4+ naive
WDR82	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF780B	CD4+ naive T-cells	xcell	T cell CD4+ naive
CASP8	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD28	CD4+ naive T-cells	xcell	T cell CD4+ naive
CDK1	CD4+ naive T-cells	xcell	T cell CD4+ naive
CTLA4	CD4+ naive T-cells	xcell	T cell CD4+ naive
LAIR2	CD4+ naive T-cells	xcell	T cell CD4+ naive
SUPV3L1	CD4+ naive T-cells	xcell	T cell CD4+ naive
TPP2	CD4+ naive T-cells	xcell	T cell CD4+ naive
GRAP2	CD4+ naive T-cells	xcell	T cell CD4+ naive
ZNF263	CD4+ naive T-cells	xcell	T cell CD4+ naive
CD226	CD4+ naive T-cells	xcell	T cell CD4+ naive
CA5B	CD4+ naive T-cells	xcell	T cell CD4+ naive
FNBP4	CD4+ naive T-cells	xcell	T cell CD4+ naive
NUDCD3	CD4+ naive T-cells	xcell	T cell CD4+ naive
STAP1	CD4+ naive T-cells	xcell	T cell CD4+ naive
TEX264	CD4+ naive T-cells	xcell	T cell CD4+ naive
POLR3E	CD4+ naive T-cells	xcell	T cell CD4+ naive
DPEP2	CD4+ naive T-cells	xcell	T cell CD4+ naive
TATDN2	CD4+ naive T-cells	xcell	T cell CD4+ naive
DIDO1	CD4+ naive T-cells	xcell	T cell CD4+ naive
REV1	CD4+ naive T-cells	xcell	T cell CD4+ naive
BAD	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD3G	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD5	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD28	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD40LG	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCR4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCR7	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CTLA4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GOLGA4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HMOX2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MGAT2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NFE2L2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PLCL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PPP2CA	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SON	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SUPV3L1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TRAF1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TSPYL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FBXO21	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FNBP4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NUDCD3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
LEPROTL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ICOS	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TRAT1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FOXP3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SIRPG	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
POLR3E	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
USP36	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DDX31	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RIC3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SLTM	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HIPK1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ATXN7L1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD3E	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD6	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DNAH6	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HNRNPU	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DNAJB1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MBNL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SFPQ	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TPP2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
UBP1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZAP70	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
OFD1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HERC1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RBM19	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DLEC1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCR9	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZCCHC11	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PHF3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
LSM14A	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TOR1AIP1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
IL21R	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
WBP11	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
USP47	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
THAP1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MKL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RBM25	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RSRC2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZXDC	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HAUS3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
C14orf169	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ARID5B	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TOE1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TUBGCP5	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SNX19	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
APBB1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ITK	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PLCG1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PSD	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SSTR3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TTN	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CUBN	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SNPH	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SPEG	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MSL3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
KLHL3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RAPGEF6	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PLXDC1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NOL9	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ANKRD55	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
OBSCN	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CHMP7	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PPWD1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
KRIT1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCNT2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TNFSF8	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCR8	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DDX5	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DSC1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GPR183	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
EZH1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FCN1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GP5	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PRMT2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ITIH4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
LY9	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PABPC3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
POU6F1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PPM1B	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RBL2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
RXRG	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ATXN7	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TPT1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NR2C1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NCK2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CDC14A	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FUBP1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
UBA3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SGSM2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
HMGN4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
DIDO1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CA5B	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
AAK1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MORC2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SACM1L	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
USP33	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
MTO1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
IPCEF1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZBTB11	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
SIT1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PNMA3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
UBQLN2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CRLF3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
UBASH3A	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
LAX1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TUG1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
PRPF38B	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ASXL2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GIMAP4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
THUMPD1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ARHGAP15	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZC3HAV1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ALG13	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CBLL1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TRMT2B	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TRIM46	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
FBXO11	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TRAF3IP3	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZNF611	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
NFATC2IP	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TMEM123	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZFC3H1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GIMAP6	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CCR2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ABCD2	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD3D	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD7	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD27	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TNFRSF4	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ARHGEF1	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
TOMM20	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
CD96	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
GPR171	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZNF335	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ZNHIT6	CD4+ T-cells	xcell	T cell CD4+ (non-regulatory)
ADSL	CD4+ Tcm	xcell	NA
AK1	CD4+ Tcm	xcell	NA
CD247	CD4+ Tcm	xcell	NA
CD40LG	CD4+ Tcm	xcell	NA
CSNK1D	CD4+ Tcm	xcell	NA
CTLA4	CD4+ Tcm	xcell	NA
DNMT1	CD4+ Tcm	xcell	NA
GOLGB1	CD4+ Tcm	xcell	NA
ITIH4	CD4+ Tcm	xcell	NA
MAN2C1	CD4+ Tcm	xcell	NA
NFRKB	CD4+ Tcm	xcell	NA
PLCG1	CD4+ Tcm	xcell	NA
POLR2A	CD4+ Tcm	xcell	NA
PSMD2	CD4+ Tcm	xcell	NA
RAD9A	CD4+ Tcm	xcell	NA
SPTAN1	CD4+ Tcm	xcell	NA
SUPT6H	CD4+ Tcm	xcell	NA
NR2C1	CD4+ Tcm	xcell	NA
TSC1	CD4+ Tcm	xcell	NA
USP4	CD4+ Tcm	xcell	NA
DGCR14	CD4+ Tcm	xcell	NA
DHX16	CD4+ Tcm	xcell	NA
RAE1	CD4+ Tcm	xcell	NA
